SMILES,Adduct,True CCS
CCCCOCCOCCOCc1cc2c(OCO2)cc1CCC,[M+Na]+,180.7781741
CCC(=O)c1ccc(O)cc1,[M+H]+,129.9995959
[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O,[M+H]+,261.0581748
[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O,[M+Na]+,266.0379933
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,[M+H]+,152.6197795
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,[M+Na]+,167.9461518
CN(C)NC(=O)CCC(=O)O,[M+Na]+,142.1967583
C(=O)(C)O[C@H]1[C@H](NC[C@@H]1O)Cc1ccc(cc1)OC,[M+H]+,164.1824982
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,[M+H]+,173.8303716
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,[M+Na]+,178.520221
C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,[M+Na]+,198.5933821
O=C(OCCCCCCCC)c1ccccc1C(=O)OCCCCCCCC,[M+H]+,210.9954581
O=C(OCCCCCCCC)c1ccccc1C(=O)OCCCCCCCC,[M+Na]+,217.0850719
N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C,[M+Na]+,147.917449
CCOc1c(ccc(NC(=O)C)c1)C(=O)OC,[M+H]+,151.1263181
CCOc1c(ccc(NC(=O)C)c1)C(=O)OC,[M+Na]+,166.1653336
CC1(CCC[C@@]2(C1=CC(=O)O2)C)C,[M+H]+,138.9284798
C1=CC=C(C=C1)CCC(=O)C=CC=CC2=CC=CC=C2,[M+H]+,168.7256995
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)c1ccc(O)cc1)O)O)O)O,[M+H]+,242.4290697
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)c1ccc(O)cc1)O)O)O)O,[M+Na]+,250.6957665
c1ccc(cc1)[C@H](C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O,[M+Na]+,210.7417565
COc1cc(cc(c1OC)OC)CC=C,[M+H]+,144.7647538
COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,[M+H]+,181.2849848
COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,[M+Na]+,191.6993906
CC1=C(C(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)OC)O,[M+H]+,158.7490827
CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC(C4)(C)CCC=C(C)C)C)C)C)C,[M+H]+,211.3403406
CC(=O)C=CC1=CC=CC=C1,[M+H]+,131.2423894
CC(=O)OC5CC(=O)O[C@@](C)(C)[C@@H]6CC(=O)[C@]3(C)[C@H](CC[C@@]2(C)[C@@H](OC(=O)[C@H]1O[C@]123)c4ccoc4)[C@@]56C,[M+Na]+,223.3960715
CC(=O)OC5CC(=O)O[C@@](C)(C)[C@@H]6CC(=O)[C@]3(C)[C@H](CC[C@@]2(C)[C@@H](OC(=O)[C@H]1O[C@]123)c4ccoc4)[C@@]56C,[M+H]+,217.1498165
COc1ccc2ccc(=O)oc2c1,[M+H]+,131.3901741
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc1cc(c(c(c1)O)C(=O)CCc1cc(c(cc1)OC)O)O)CO)O)O)O)O)O,[M+H]+,233.956908
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc1cc(c(c(c1)O)C(=O)CCc1cc(c(cc1)OC)O)O)CO)O)O)O)O)O,[M+Na]+,234.0231755
C[C@H]1[C@@H]([C@H]([C@@H](O)[C@@H](O1)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(c(c1)O)OC)O)O,[M+Na]+,237.0994995
[C@@H]1([C@H](O)[C@@H]([C@H](O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2c2c(cc(c3c2oc(cc3=O)c2ccc(cc2)O)O)O)CO)O)O)O[C@@H]1C)O)O,[M+H]+,221.5399465
[C@@H]1([C@H](O)[C@@H]([C@H](O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2c2c(cc(c3c2oc(cc3=O)c2ccc(cc2)O)O)O)CO)O)O)O[C@@H]1C)O)O,[M+Na]+,228.4067859
C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O)/C=C/C=C(\C)/C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O,[M+Na]+,316.1991044
C(=O)(/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)\C)\C)/C)/C)O[C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O,[M+Na]+,281.95453
Cc1cc(cc(c1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,[M+Na]+,175.747545
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,[M+H]+,209.0068227
COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,[M+H]+,195.987143
COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,[M+Na]+,199.7209001
COc1cc(c2c(c1)oc(=O)c1c2oc2cc(c(cc12)O)O)O,[M+H]+,167.9281871
CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)CO,[M+Na]+,190.1068536
COc1c2ccc(=O)oc2cc2c1cco2,[M+H]+,139.9218483
O=C(OC)C2=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]3[C@@H]2[C@H](O)C[C@]3(C)OC(C)=O,[M+Na]+,207.7561118
[C@@H]1([C@H]2[C@@H](C(=CO1)C(=O)O)CC=C2CO)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO,[M+Na]+,188.1188481
COC(=O)C1=CO[C@H]([C@@H]2C(=CC[C@H]12)CO)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,[M+Na]+,193.7007273
Oc1cc(O)cc2OC(=CC(=O)c12)c6cc(c5c(O)cc(O)c3c5OC(=CC3=O)c4ccc(O)cc4)c(OC)cc6,[M+H]+,230.4867904
Oc1cc(OC)cc2OC(=CC(=O)c12)c6cc(c5c(O)cc(O)c3c5OC(=CC3=O)c4ccc(OC)cc4)c(OC)cc6,[M+H]+,235.3669477
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC,[M+H]+,231.5089288
O[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO,[M+Na]+,143.9859551
CCOC(=O)C1=CC2=CC=CC=C2OC1=O,[M+H]+,141.9164875
CCOC(=O)C1=CC2=CC=CC=C2OC1=O,[M+Na]+,159.2533194
CC1=CC(=O)OC2=C1C=CC(=C2[N+](=O)[O-])O,[M+H]+,144.5735374
CC1=CC(=O)OC2=CC(=CC(=C12)O)O,[M+H]+,136.8856341
CC1=CC(=O)OC2=CC(=C(C=C12)O)O,[M+H]+,136.8009543
C1=CC2=C(C=CC(=O)O2)C=C1O,[M+H]+,129.5846156
C1=CC=C(C=C1)C2=CC(=O)OC3=C2C=CC(=C3O)O,[M+H]+,156.5026607
COc2cc(O)ccc2/C=C/C(=O)c1ccc(O)cc1,[M+H]+,167.4537974
COc2cc(O)ccc2/C=C/C(=O)c1ccc(O)cc1,[M+Na]+,183.7506159
COC1=C(C=CC(=C1O)O)C=CC(=O)C2=CC=C(C=C2)O,[M+H]+,170.362418
CC(C)(C=C)c1c(cc(c(c1)/C=C/C(=O)c1ccc(cc1)O)OC)O,[M+H]+,191.2557476
CC(C)(C=C)c1c(cc(c(c1)/C=C/C(=O)c1ccc(cc1)O)OC)O,[M+Na]+,206.1727913
CC1([C@@H]2CC[C@@]3([C@@H]([C@]2(CC[C@@H]1O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)OC1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)C)C(=O)C=C1[C@]3(CC[C@@]2([C@H]1C[C@@](CC2)(C)C(=O)O)C)C)C)C,[M+Na]+,295.2507884
CC1(C=Cc2c(O1)ccc1c2OC[C@H](C1)c1c(cc(cc1)O)O)C,[M+H]+,180.628133
COc1cc(cc(c1C(=O)/C=C/c1ccccc1)O)O,[M+H]+,164.0165577
COc1cc(cc(c1C(=O)/C=C/c1ccccc1)O)O,[M+Na]+,178.2783891
C1(=O)C(=C)[C@H]2[C@H](O1)[C@H]1[C@](CC/C=C(\CC2)/C)(C)O1,[M+H]+,154.2330393
C1(=O)C(=C)[C@H]2[C@H](O1)[C@H]1[C@](CC/C=C(\CC2)/C)(C)O1,[M+Na]+,164.2365975
O1[C@H]2[C@@H]3N(CC2)CC=C3COC(=O)[C@](O)([C@](O)([C@H](C1=O)C)C)C,[M+Na]+,180.1798012
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O,[M+H]+,163.5378153
O=C(OC)C2=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C=C)[C@@H]2CC(=O)O,[M+Na]+,192.5202773
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC)OC,[M+H]+,248.0346909
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC)OC,[M+Na]+,246.7174031
C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,[M+H]+,173.6282291
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1c(=O)c2c(cc(cc2oc1c1cc(c(c(c1)O)O)O)O)O)O)O)O,[M+Na]+,212.9956202
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,[M+H]+,242.9007843
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,[M+Na]+,247.3184564
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)O)O)OC,[M+H]+,238.3932051
CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)O)O)OC,[M+Na]+,237.1097972
c12c(cccc1)C[C@@H]1c3c2c(c(cc3CCN1C)OC)OC,[M+H]+,172.4151441
C1=C([C@H](/C(=C\C)/[C@@H](O1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)CC(=O)OCCc1cc(c(cc1)O)O)C(=O)OC,[M+Na]+,214.6102279
O[C@H]1[C@H]2[C@]([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@@H](O)CC4)(C)C)C)C1)C)(CC[C@@H]2[C@@]1(OC(CCC1)(C)C)C)C,[M+H]+,218.8171913
O[C@H]1[C@H]2[C@]([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@@H](O)CC4)(C)C)C)C1)C)(CC[C@@H]2[C@@]1(OC(CCC1)(C)C)C)C,[M+Na]+,230.4712393
C1C[C@@H](C([C@@H]2CC[C@]3([C@@]4(CC[C@@H]([C@H]4[C@@H](C[C@@H]3[C@@]12C)O)[C@](C)(CCC=C(C)C)O)C)C)(C)C)O,[M+Na]+,227.0007483
O1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@]1([C@@]3(CC[C@]4(CCC(C[C@H]4C3=CC[C@H]21)(C)C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C)C)C)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O)C(=O)O,[M+Na]+,315.6309386
COc1cc(cc(c1)O)/C=C/c1ccc(cc1)O,[M+H]+,160.075347
CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,[M+H]+,174.9634729
COc1cc(cc(c1OC)OC)/C=C/C(=O)N1CCC=CC1=O,[M+Na]+,196.9013737
COC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)O,[M+H]+,176.3584752
COC1=CC=C(C=C1)C=CC2=CC(=CC(=O)O2)OC,[M+H]+,163.3074845
COC1=CC=C(C=C1)C=CC2=CC(=CC(=O)O2)OC,[M+Na]+,187.0671499
COC1=CC(=O)O[C@H](C1)\C=C\c1ccccc1,[M+Na]+,172.7282391
COC1=CC(=O)O[C@@H](CCc2ccccc2)C1,[M+H]+,149.1110735
COC1=CC(=O)O[C@@H](CCc2ccccc2)C1,[M+Na]+,155.5145638
C1CCN(CC1)C(=O)/C=C/C=C/c1cc2c(cc1)OCO2,[M+H]+,177.202268
C1CCN(CC1)C(=O)/C=C/C=C/c1cc2c(cc1)OCO2,[M+Na]+,199.5215946
CC(=C)C1CCC(=CC1)C=NO,[M+H]+,138.7284185
O[C@]1([C@@H]([C@@]2([C@H](C(CCC2)(C)C)CC1)C)CC[C@@](O)(C=C)C)C,[M+Na]+,189.7872405
c1cc(ccc1c1coc2cc(cc(c2c1=O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,[M+H]+,207.0728299
C[C@]12CCC3[C@@]4(CCC[C@@]([C@H]4CC[C@@]3(C1)CC2=O)(C)C(=O)O)C,[M+H]+,180.2164535
COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O,[M+H]+,193.3330032
CCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,[M+Na]+,193.9963217
CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,[M+Na]+,184.3884597
C(CC(=O)C[C@H](CCCCCCCCC)O)c1cc(c(cc1)O)OC,[M+Na]+,202.8035471
CCCCC[C@@H](CC(=O)CCc1cc(c(cc1)O)OC)O,[M+Na]+,181.4981534
[C@H]1(CC(=O)c2c(O1)cc(cc2OC)O)c1ccccc1,[M+H]+,160.7579271
[C@H]1(CC(=O)c2c(O1)cc(cc2OC)O)c1ccccc1,[M+Na]+,178.4963635
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)C4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O,[M+H]+,235.9924194
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)C4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O,[M+Na]+,245.1110961
O=C(OC)C2=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]4[C@]2(O)[C@H](O)[C@@H]3O[C@@]34C,[M+Na]+,196.1627076
C\1=C(/CC/C=C(/CC(=O)C(=C(C)C)C1)\C)\C,[M+H]+,149.5257404
O1O[C@]2(O[C@H]3O[C@@H](OC(=O)CCC(=O)O)[C@@H]([C@H]4[C@@]13[C@H]([C@@H](CC4)C)CC2)C)C,[M+Na]+,185.3126702
C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,[M+H]+,250.4818312
C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,[M+Na]+,251.4337186
Nc1nc(=O)n(cc1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,[M+H]+,155.9194072
Nc1nc(=O)n(cc1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,[M+Na]+,167.9127968
[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12,[M+H]+,158.1947337
[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12,[M+Na]+,166.5109924
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,[M+H]+,207.5989807
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,[M+Na]+,169.6666747
[C@H]1([C@H]([C@H](O[C@H]2O[C@@H]([C@H](C[C@H]2N)O)CN)[C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO,[M+H]+,202.6481025
[C@H]1([C@H]([C@H](O[C@H]2O[C@@H]([C@H](C[C@H]2N)O)CN)[C@H](C[C@H]1N)N)O)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO,[M+Na]+,206.8461712
c12c(ncn1COCCO)c(=O)[nH]c(n2)N,[M+Na]+,160.6487213
c1nc2c([nH]1)c(=S)nc([nH]2)N,[M+H]+,132.570056
c1nc2c([nH]1)c(=S)nc([nH]2)N,[M+Na]+,142.2641423
C(P(=O)(O)O)O[C@@H](Cn1c(=O)nc(cc1)N)CO,[M+H]+,157.9768903
C(P(=O)(O)O)O[C@@H](Cn1c(=O)nc(cc1)N)CO,[M+Na]+,160.1763082
Oc1ccc(NC(=O)c2ccccc2O)cc1,[M+H]+,151.3645811
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,[M+H]+,159.3880034
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O,[M+H]+,152.0282194
CC1=C(S(=O)(O)=O)OC2=C1C(C(C3=C2C=CC4=C3CCCC4(C)C)=O)=O,[M+Na]+,225.7544066
COc1ccc(C[C@H]2COC(=O)[C@@H]2Cc2ccc(c(c2)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)cc1OC,[M+Na]+,223.6883337
[C@@H]1(Cc2c(O1)ccc1c2O[C@@H]2COc3cc(c(cc3[C@@H]2C1=O)OC)OC)C(=C)C,[M+H]+,195.4870688
c1c(ccc(c1O)O)C(=O)Nc1nc(c(s1)c1ccccc1)c1cc(c(cc1)O)O,[M+H]+,207.9133035
c1c(ccc(c1O)O)C(=O)Nc1nc(c(s1)c1ccccc1)c1cc(c(cc1)O)O,[M+Na]+,216.4357596
n1(c(=O)cc(c2cc(ccc12)[C@@](c1cncn1C)(c1ccc(cc1)Cl)N)c1cc(ccc1)Cl)C,[M+H]+,215.3417796
CC1(C=Cc2c(O1)ccc1c2O[C@@H]2COc3cc(c(cc3[C@@H]2C1=O)OC)OC)C,[M+Na]+,208.6269428
CCC(=O)c1ccc(O)cc1,[M-H]-,131.826804
CCOc1c(O)ccc(C=O)c1,[M-H]-,133.6852763
OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,[M-H]-,169.5675002
[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O,[M-H]-,262.3227788
N1c2ccccc2Sc2ccccc12,[M-H]-,140.5386422
CNC(=O)Oc1cccc2ccccc12,[M-H]-,144.3589602
C12=C3[C@@H](CCC1=CC(=O)CC2)[C@H]1[C@](C=C3)([C@](CC1)(O)CC=C)C,[M-H]-,180.5636648
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,[M-H]-,156.0509719
CN(C)NC(=O)CCC(=O)O,[M-H]-,135.8780749
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,[M-H]-,178.6737079
N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C,[M-H]-,139.8012005
CCOc1c(ccc(NC(=O)C)c1)C(=O)OC,[M-H]-,158.1578352
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,[M-H]-,169.3510479
CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,[M-H]-,157.3909725
C1=CC=C(C=C1)CCC(=O)C=CC=CC2=CC=CC=C2,[M-H]-,178.1275954
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)Oc1cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)c1ccc(O)cc1)O)O)O)O,[M-H]-,239.5851378
c1ccc(cc1)[C@H](C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O,[M-H]-,205.68896
COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,[M-H]-,176.3570681
CC1=C(C(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)OC)O,[M-H]-,160.8542464
c1c(cc(c(c1OC)OC)OC)/C=C/C(=O)O,[M-H]-,167.9116062
CC(=O)OC5CC(=O)O[C@@](C)(C)[C@@H]6CC(=O)[C@]3(C)[C@H](CC[C@@]2(C)[C@@H](OC(=O)[C@H]1O[C@]123)c4ccoc4)[C@@]56C,[M-H]-,219.9013263
C1C(CC[C@@]2(CC[C@]3([C@@]4(CC[C@H]5C([C@H]([C@@H](C[C@@]5([C@H]4CC=C3[C@H]12)C)O)O)(C)C)C)C)C(=O)O)(C)C,[M-H]-,222.5352747
